Headliner,Show ,Opener,DateVenue,Image,FileName,Format,Date,Venue,RoadTrip,Notes
The Rose ,Dawn To Dusk Tour,,October 24 2023 | Eagle Bank Arena,images/TheRose.png,images/TheRose_DawnToDuskTour.jpeg,headliner,October 24 2023,Eagle Bank Arena,,
BETWEEN FRIENDS,I Love My Girl She's My Boy Tour,Blaketheman1000,October 16 2023 | Union Stage,images/BetweenFriends.png,BETWEENFRIENDS_ILoveMyGirlShe'sMyBoyTour,headliner,October 16 2023,Union Stage,,
Maude Latour ,Twin Flame Tour ,Devon Again,October 15 2023 | 9:30 Club,images/twinflame.jpeg,MaudeLatour_TwinFlameTour,headliner,October 15 2023,9:30 Club,,drove back from West Virginia that morning 
The 5 Seconds of Summer Show,,Meet Me @ the Altar,August 18 2023 | Jiffy Lube Live,images/5sos.jpeg,The5SecondsofSummerShow,show,August 18 2023,Jiffy Lube Live,,
BLACKPINK,Born Pink World Tour Encore,,August 12 2023 | MetLife Stadium,images/bp.webp,BLACKPINK_BornPinkWorldTourEncore,headliner,August 12 2023,MetLife Stadium,x,rain show! 
Taylor Swift,The Eras Tour,Gracie Abrams | Girl in Red ,June 16 2023 | Acrisure Stadium ,images/tswift2.png,TaylorSwift_TheErasTour,headliner,June 16 2023,Acrisure Stadium ,x,Patrick's first concert 
TOMORROW X TOGETHER,Act: Sweet Mirage World Tour,,May 16 2023 | Capital One Arena ,images/txt.jpeg,TOMORROWXTOGETHER_Act:SweetMirageWorldTour,headliner,May 16 2023,Capital One Arena ,x,submitted last college final and drove up 
The Wrecks,Back & Better Than Ever Tour,Arlie,October 30 2022 | Elevation 27,images/thewrecks.jpeg,TheWrecks_Back&BetterThanEverTour,headliner,October 30 2022,Elevation 27,,
Bad Suns,Apocalypse Whenever Tour,Quarters of Change | Last Dinosaurs ,October 25 2022 | The National,images/badsuns.jpeg,BadSuns_ApocalypseWheneverTour,headliner,October 25 2022,The National,,
All Things Go Festival,,Lorde | Maude Latour | Hippo Campus | Mitski | Bleachers,October 1 2022 | Merriweather Post Pavilion,images/AllThingsGo.webp,AllThingsGoFestival,show,October 1 2022,Merriweather Post Pavilion,,cold and rainy
Coin,Uncanny Valley Tour,Miloe ,September 27 2022 | The NorVa,images/coin.png,Coin_UncannyValleyTour,headliner,September 27 2022,The NorVa,,
Lauv,All 4 Nothing Tour,Hayley Kiyoko,August 25 2022 | The Anthem,images/lauv.jpeg,Lauv_All4NothingTour,headliner,August 25 2022,The Anthem,,
5 Seconds of Summer,Take My Hand World Tour,Pale Waves,July 5 2022 | The Anthem,images/tmh.jpeg,5SecondsofSummer_TakeMyHandWorldTour,headliner,July 5 2022,The Anthem,,loud! made me get earplugs
Dua Lipa,Future Nostalgia Tour,,June 28 2022 | Gröna Lund,images/fn.jpeg,DuaLipa_FutureNostalgiaTour,headliner,June 28 2022,Gröna Lund,,just happened to be in sweeden 
The Driver Era ,The Girlfriend Tour,Moon Tower | The Wrecks,November 28 2021 | The NorVa,images/driverera.webp,TheDriverEra_TheGirlfriendTour,headliner,November 28 2021,The NorVa,,
Thomas Rhett,Very Hot Summer Tour,Dustin Lynch | Russell Dickerson,June 15 2019 | Jiffy Lube Live,images/ThomasRhett.png,ThomasRhett_VeryHotSummerTour,headliner,June 15 2019,Jiffy Lube Live,,
LANY,Malibu Nights World Tour,Fletcher,May 16 2019 | 9:30 Club,images/lany.jpeg,LANY_MalibuNightsWorldTour,headliner,May 16 2019,9:30 Club,,
Picture This,MDRN LV Tour,Future Feats,April 27 2019 | Rock N Roll Hotel,images/picturethis.jpeg,PictureThis_MDRNLVTour,headliner,April 27 2019,Rock N Roll Hotel,,
Niall Horan,Flicker Tour,Maren Morris,August 31 2018 | Jiffy Lube Live,images/flicker.jpeg,NiallHoran_FlickerTour,headliner,August 31 2018,Jiffy Lube Live,,
Panic! at the Disco,Pray for the Wicked Tour,Hayley Kiyoko | ARIZONA,July 18 2018 | PPG Paints Arena,images/pftw.jpeg,Panic!attheDisco_PrayfortheWickedTour,headliner,July 18 2018,PPG Paints Arena,x,
Halsey,Hopeless Fountain Kingdom Tour: The Final Installment,Jessie Reyez,July 15 2018 | Wolf Trap,images/hfkt.jpeg,Halsey_HopelessFountainKingdomTour:TheFinalInstallment,headliner,July 15 2018,Wolf Trap,,
Harry Styles,Harry Styles: Live on Tour,Kasey Musgraves,June 24 2018 | Capital One Arena,images/HarryStylesLiveOnTour.png,HarryStyles_HarryStyles:LiveonTour,headliner,June 24 2018,Capital One Arena,,
